model_type,hidden_dim,num_layers,architecture,dropout,learning_rate,train_loss,val_loss,test_rmse
gru,64,2,"[256, 64]",0.2,0.0001,0.8091,4.9363,1.725
gru,128,1,"[512, 128]",0.1,0.001,0.6457,5.339,1.8031
gru,128,1,"[512, 128]",0.1,0.0001,0.5527,4.9307,1.6804
gru,128,1,"[512, 128]",0.2,0.001,0.6191,5.3372,1.5882
gru,128,1,"[512, 128]",0.2,0.0001,0.6588,5.2625,1.6655
gru,128,1,"[1024, 512, 128]",0.1,0.001,0.506,5.0992,1.7206
gru,128,1,"[1024, 512, 128]",0.1,0.0001,0.5355,4.8515,1.5985
gru,128,1,"[1024, 512, 128]",0.2,0.001,0.6604,5.2882,1.7331
gru,128,1,"[1024, 512, 128]",0.2,0.0001,0.5833,4.4533,1.642
gru,128,1,"[256, 64]",0.1,0.001,0.6035,5.4167,1.6363
gru,128,1,"[256, 64]",0.1,0.0001,0.6114,4.8192,1.6276
gru,128,1,"[256, 64]",0.2,0.001,0.7694,5.1723,1.6451
gru,128,1,"[256, 64]",0.2,0.0001,0.8902,4.638,1.6162
gru,128,2,"[512, 128]",0.1,0.001,0.4683,5.2673,1.6565
gru,128,2,"[512, 128]",0.1,0.0001,0.508,4.9894,1.7923
gru,128,2,"[512, 128]",0.2,0.001,0.6077,5.9637,1.845
gru,128,2,"[512, 128]",0.2,0.0001,0.5698,5.089,1.6219
gru,128,2,"[1024, 512, 128]",0.1,0.001,0.5544,5.8441,1.8346
gru,128,2,"[1024, 512, 128]",0.1,0.0001,0.7216,5.2488,1.6845
gru,128,2,"[1024, 512, 128]",0.2,0.001,0.9413,6.008,1.6029
gru,128,2,"[1024, 512, 128]",0.2,0.0001,0.629,5.292,1.8659
gru,128,2,"[256, 64]",0.1,0.001,0.5714,5.1776,1.6657
gru,128,2,"[256, 64]",0.1,0.0001,0.6588,4.8697,1.6453
gru,128,2,"[256, 64]",0.2,0.001,0.7129,5.4173,1.6279
gru,128,2,"[256, 64]",0.2,0.0001,0.6632,4.6595,1.6286
gru,256,1,"[512, 128]",0.1,0.001,0.4645,5.5089,1.7833
gru,256,1,"[512, 128]",0.1,0.0001,0.5099,5.3164,1.7501
gru,256,1,"[512, 128]",0.2,0.001,0.6383,5.628,1.9542
gru,256,1,"[512, 128]",0.2,0.0001,0.502,4.7209,1.6149
gru,256,1,"[1024, 512, 128]",0.1,0.001,0.5213,5.4203,1.8333
